,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1001.jpg,1,2,1,2,22,22,25,62,62,62,62,63,59,56,55,26,20,20,19,20,19,18,19,21,19,21,19,22,20,23,23,20,16,21,20,18,19,18,17,17,15,20,13,16,15,15,13,17,20,40,52,57,60,78,77,86,63,61,49,33,35,33,27,24,17,15,10,2,1,3,0,1,0,0,0,0,0,0,0,0,0,7,5,13,17,32,28,55,62,62,62,61,61,58,40,38,23,16,4,13
1015.jpg,0,0,0,0,0,2,6,7,19,33,35,72,72,71,71,72,71,70,67,65,48,44,49,29,26,28,26,26,26,24,22,20,22,20,19,22,23,21,21,20,20,19,17,16,22,17,18,20,19,18,17,18,21,20,25,91,90,94,95,93,91,82,82,23,10,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,10,7,11,23,53,56,60,59,58,56,55,54,24,15,2,0,0,0,0
1029.jpg,0,0,0,0,0,0,0,0,10,28,28,39,53,60,65,64,65,63,60,59,55,55,43,38,27,21,21,22,21,20,21,22,21,21,21,20,24,19,20,22,21,25,27,21,24,58,55,65,81,88,88,88,90,89,89,64,54,53,33,33,27,21,23,17,12,11,0,0,0,0,0,1,1,5,1,6,23,25,48,53,71,71,70,69,70,70,67,66,63,31,30,6,1,2,0,0,0,0,0,0
1048.jpg,0,0,0,0,0,3,4,6,12,14,22,42,44,65,66,66,67,62,62,60,58,44,39,25,18,21,21,22,20,21,23,24,21,27,22,23,22,18,21,16,18,18,15,19,18,20,15,14,17,18,20,21,20,23,43,49,63,69,90,92,91,91,90,87,89,88,86,52,52,29,27,0,0,0,0,0,0,0,0,0,2,0,0,1,3,5,51,55,56,56,54,54,51,47,40,0,0,0,0,0
1063.jpg,0,0,0,2,0,2,5,6,53,54,58,57,58,57,57,57,33,29,30,23,24,25,20,22,23,22,18,19,19,14,16,17,15,16,18,16,17,15,17,15,17,17,19,18,16,15,18,16,19,15,21,23,16,47,59,60,72,79,89,90,91,92,79,75,29,29,25,16,13,15,7,3,1,0,1,0,2,4,5,8,8,11,25,26,62,64,64,65,65,64,64,62,59,59,35,1,0,0,0,0
1076.jpg,0,1,1,1,5,5,28,29,53,55,54,53,52,50,34,29,20,21,19,17,22,19,21,21,18,19,18,20,17,17,19,20,19,19,18,17,15,17,17,16,16,14,14,15,17,16,16,20,14,23,28,27,53,54,83,83,82,84,80,78,60,60,41,22,21,17,15,5,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,6,29,56,58,59,58,57,56,55,37,33,22,1,1,4
1168.jpg,0,0,0,0,0,0,0,0,15,35,38,57,57,57,56,56,56,52,49,37,20,23,20,17,16,15,16,14,14,15,18,14,17,16,18,20,22,18,17,18,16,21,20,17,34,51,59,61,80,89,87,89,88,78,77,53,35,34,22,22,20,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,61,64,63,60,59,59,50,41,17,12,8,0,1,0,0,0,0,0,0
1186.jpg,0,0,0,0,0,0,0,0,5,15,25,27,55,62,62,62,60,62,60,59,55,50,52,34,26,23,21,19,18,18,18,16,17,16,14,18,15,13,16,12,12,14,15,14,14,13,12,12,13,13,17,16,19,22,21,66,91,91,94,92,90,91,90,90,26,26,12,10,8,0,1,1,0,0,0,2,0,2,6,6,15,39,37,59,59,59,58,57,57,55,55,13,2,1,4,0,0,0,0,0
1194.jpg,0,0,2,2,0,13,24,29,41,44,60,59,59,59,59,57,56,55,51,47,46,30,25,21,19,18,17,18,15,17,15,13,14,12,12,9,11,12,12,12,10,13,13,14,13,16,14,14,26,33,43,49,81,85,87,87,88,87,86,86,82,54,52,47,29,27,22,22,0,1,0,0,0,0,0,0,0,0,0,0,1,5,5,7,7,51,53,56,56,58,57,57,57,55,56,25,22,1,2,2
1206.jpg,0,0,0,0,0,0,0,0,2,11,17,16,52,50,53,53,53,51,49,49,46,46,27,22,24,26,23,20,22,19,24,24,21,22,20,24,20,16,18,15,15,15,16,14,14,15,14,15,12,14,16,16,15,13,18,55,58,92,94,94,91,91,89,88,58,47,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4,29,35,40,44,66,66,66,65,64,59,56,21,1,1,6,0,0,0,0
