,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1001.jpg,5.0,5.0,13.0,31.0,31.0,31.0,29.0,29.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,11.0,13.0,11.0,9.0,11.0,11.0,9.0,11.0,21.0,29.0,39.0,45.0,35.0,29.0,23.0,17.0,9.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,9.0,15.0,29.0,33.0,33.0,33.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015.jpg,3.0,1.0,3.0,9.0,17.0,37.0,37.0,37.0,39.0,35.0,27.0,23.0,17.0,17.0,17.0,13.0,15.0,13.0,13.0,11.0,13.0,11.0,15.0,11.0,11.0,15.0,11.0,47.0,47.0,47.0,47.0,41.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,29.0,33.0,29.0,29.0,31.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029.jpg,3.0,3.0,1.0,3.0,15.0,21.0,33.0,33.0,33.0,31.0,29.0,25.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,13.0,17.0,13.0,33.0,37.0,45.0,45.0,47.0,47.0,29.0,17.0,21.0,13.0,7.0,1.0,3.0,3.0,1.0,5.0,15.0,29.0,37.0,37.0,37.0,35.0,33.0,17.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048.jpg,3.0,3.0,3.0,9.0,9.0,23.0,33.0,35.0,33.0,35.0,29.0,21.0,13.0,15.0,17.0,15.0,15.0,13.0,13.0,15.0,9.0,13.0,11.0,11.0,11.0,15.0,15.0,27.0,39.0,47.0,47.0,45.0,45.0,43.0,25.0,15.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,27.0,29.0,27.0,27.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063.jpg,1.0,5.0,3.0,9.0,29.0,31.0,31.0,31.0,21.0,17.0,15.0,17.0,13.0,13.0,13.0,13.0,9.0,11.0,11.0,11.0,9.0,11.0,9.0,11.0,15.0,15.0,27.0,35.0,39.0,47.0,49.0,39.0,17.0,15.0,9.0,5.0,3.0,1.0,3.0,5.0,9.0,19.0,33.0,33.0,35.0,33.0,31.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1076.jpg,3.0,3.0,5.0,17.0,29.0,29.0,27.0,19.0,13.0,13.0,15.0,13.0,13.0,15.0,11.0,11.0,11.0,11.0,9.0,9.0,11.0,7.0,11.0,11.0,17.0,21.0,33.0,43.0,43.0,41.0,33.0,21.0,13.0,7.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,27.0,31.0,31.0,29.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168.jpg,1.0,3.0,1.0,1.0,19.0,31.0,31.0,29.0,29.0,27.0,15.0,15.0,11.0,9.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,17.0,31.0,33.0,47.0,47.0,47.0,39.0,23.0,13.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,33.0,33.0,31.0,23.0,13.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186.jpg,1.0,5.0,1.0,1.0,9.0,15.0,31.0,31.0,33.0,31.0,29.0,25.0,13.0,11.0,15.0,13.0,9.0,11.0,9.0,11.0,11.0,9.0,7.0,7.0,7.0,17.0,11.0,35.0,49.0,47.0,45.0,47.0,13.0,7.0,3.0,1.0,3.0,1.0,3.0,5.0,19.0,29.0,31.0,29.0,29.0,29.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194.jpg,3.0,5.0,9.0,19.0,23.0,31.0,31.0,31.0,29.0,29.0,23.0,13.0,13.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,7.0,9.0,9.0,11.0,17.0,25.0,43.0,45.0,45.0,45.0,43.0,29.0,15.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,27.0,29.0,31.0,31.0,29.0,29.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206.jpg,3.0,1.0,1.0,5.0,5.0,9.0,27.0,27.0,27.0,25.0,25.0,17.0,15.0,13.0,13.0,15.0,13.0,13.0,9.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,27.0,47.0,49.0,47.0,45.0,31.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,17.0,21.0,35.0,35.0,33.0,31.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
