,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1001.jpg,1.0,3.0,1.0,3.0,23.0,23.0,25.0,63.0,63.0,63.0,63.0,63.0,59.0,57.0,55.0,27.0,21.0,21.0,19.0,21.0,19.0,19.0,19.0,21.0,19.0,21.0,19.0,23.0,21.0,23.0,23.0,21.0,17.0,21.0,21.0,19.0,19.0,19.0,17.0,17.0,15.0,21.0,13.0,17.0,15.0,15.0,13.0,17.0,21.0,41.0,53.0,57.0,61.0,79.0,77.0,87.0,63.0,61.0,49.0,33.0,35.0,33.0,27.0,25.0,17.0,15.0,11.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,13.0,17.0,33.0,29.0,55.0,63.0,63.0,63.0,61.0,61.0,59.0,41.0,39.0,23.0,17.0,5.0,13.0
1015.jpg,1.0,1.0,1.0,1.0,1.0,3.0,7.0,7.0,19.0,33.0,35.0,73.0,73.0,71.0,71.0,73.0,71.0,71.0,67.0,65.0,49.0,45.0,49.0,29.0,27.0,29.0,27.0,27.0,27.0,25.0,23.0,21.0,23.0,21.0,19.0,23.0,23.0,21.0,21.0,21.0,21.0,19.0,17.0,17.0,23.0,17.0,19.0,21.0,19.0,19.0,17.0,19.0,21.0,21.0,25.0,91.0,91.0,95.0,95.0,93.0,91.0,83.0,83.0,23.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,7.0,11.0,23.0,53.0,57.0,61.0,59.0,59.0,57.0,55.0,55.0,25.0,15.0,3.0,1.0,1.0,1.0,1.0
1029.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,29.0,29.0,39.0,53.0,61.0,65.0,65.0,65.0,63.0,61.0,59.0,55.0,55.0,43.0,39.0,27.0,21.0,21.0,23.0,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0,25.0,19.0,21.0,23.0,21.0,25.0,27.0,21.0,25.0,59.0,55.0,65.0,81.0,89.0,89.0,89.0,91.0,89.0,89.0,65.0,55.0,53.0,33.0,33.0,27.0,21.0,23.0,17.0,13.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,23.0,25.0,49.0,53.0,71.0,71.0,71.0,69.0,71.0,71.0,67.0,67.0,63.0,31.0,31.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
1048.jpg,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,13.0,15.0,23.0,43.0,45.0,65.0,67.0,67.0,67.0,63.0,63.0,61.0,59.0,45.0,39.0,25.0,19.0,21.0,21.0,23.0,21.0,21.0,23.0,25.0,21.0,27.0,23.0,23.0,23.0,19.0,21.0,17.0,19.0,19.0,15.0,19.0,19.0,21.0,15.0,15.0,17.0,19.0,21.0,21.0,21.0,23.0,43.0,49.0,63.0,69.0,91.0,93.0,91.0,91.0,91.0,87.0,89.0,89.0,87.0,53.0,53.0,29.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,51.0,55.0,57.0,57.0,55.0,55.0,51.0,47.0,41.0,1.0,1.0,1.0,1.0,1.0
1063.jpg,1.0,1.0,1.0,3.0,1.0,3.0,5.0,7.0,53.0,55.0,59.0,57.0,59.0,57.0,57.0,57.0,33.0,29.0,31.0,23.0,25.0,25.0,21.0,23.0,23.0,23.0,19.0,19.0,19.0,15.0,17.0,17.0,15.0,17.0,19.0,17.0,17.0,15.0,17.0,15.0,17.0,17.0,19.0,19.0,17.0,15.0,19.0,17.0,19.0,15.0,21.0,23.0,17.0,47.0,59.0,61.0,73.0,79.0,89.0,91.0,91.0,93.0,79.0,75.0,29.0,29.0,25.0,17.0,13.0,15.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,9.0,9.0,11.0,25.0,27.0,63.0,65.0,65.0,65.0,65.0,65.0,65.0,63.0,59.0,59.0,35.0,1.0,1.0,1.0,1.0,1.0
1076.jpg,1.0,1.0,1.0,1.0,5.0,5.0,29.0,29.0,53.0,55.0,55.0,53.0,53.0,51.0,35.0,29.0,21.0,21.0,19.0,17.0,23.0,19.0,21.0,21.0,19.0,19.0,19.0,21.0,17.0,17.0,19.0,21.0,19.0,19.0,19.0,17.0,15.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,17.0,17.0,17.0,21.0,15.0,23.0,29.0,27.0,53.0,55.0,83.0,83.0,83.0,85.0,81.0,79.0,61.0,61.0,41.0,23.0,21.0,17.0,15.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,7.0,29.0,57.0,59.0,59.0,59.0,57.0,57.0,55.0,37.0,33.0,23.0,1.0,1.0,5.0
1168.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,35.0,39.0,57.0,57.0,57.0,57.0,57.0,57.0,53.0,49.0,37.0,21.0,23.0,21.0,17.0,17.0,15.0,17.0,15.0,15.0,15.0,19.0,15.0,17.0,17.0,19.0,21.0,23.0,19.0,17.0,19.0,17.0,21.0,21.0,17.0,35.0,51.0,59.0,61.0,81.0,89.0,87.0,89.0,89.0,79.0,77.0,53.0,35.0,35.0,23.0,23.0,21.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,61.0,65.0,63.0,61.0,59.0,59.0,51.0,41.0,17.0,13.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1186.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,15.0,25.0,27.0,55.0,63.0,63.0,63.0,61.0,63.0,61.0,59.0,55.0,51.0,53.0,35.0,27.0,23.0,21.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,15.0,19.0,15.0,13.0,17.0,13.0,13.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,17.0,17.0,19.0,23.0,21.0,67.0,91.0,91.0,95.0,93.0,91.0,91.0,91.0,91.0,27.0,27.0,13.0,11.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,7.0,15.0,39.0,37.0,59.0,59.0,59.0,59.0,57.0,57.0,55.0,55.0,13.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
1194.jpg,1.0,1.0,3.0,3.0,1.0,13.0,25.0,29.0,41.0,45.0,61.0,59.0,59.0,59.0,59.0,57.0,57.0,55.0,51.0,47.0,47.0,31.0,25.0,21.0,19.0,19.0,17.0,19.0,15.0,17.0,15.0,13.0,15.0,13.0,13.0,9.0,11.0,13.0,13.0,13.0,11.0,13.0,13.0,15.0,13.0,17.0,15.0,15.0,27.0,33.0,43.0,49.0,81.0,85.0,87.0,87.0,89.0,87.0,87.0,87.0,83.0,55.0,53.0,47.0,29.0,27.0,23.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,7.0,51.0,53.0,57.0,57.0,59.0,57.0,57.0,57.0,55.0,57.0,25.0,23.0,1.0,3.0,3.0
1206.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,17.0,17.0,53.0,51.0,53.0,53.0,53.0,51.0,49.0,49.0,47.0,47.0,27.0,23.0,25.0,27.0,23.0,21.0,23.0,19.0,25.0,25.0,21.0,23.0,21.0,25.0,21.0,17.0,19.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0,15.0,13.0,15.0,17.0,17.0,15.0,13.0,19.0,55.0,59.0,93.0,95.0,95.0,91.0,91.0,89.0,89.0,59.0,47.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,29.0,35.0,41.0,45.0,67.0,67.0,67.0,65.0,65.0,59.0,57.0,21.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
1222.jpg,1.0,3.0,3.0,5.0,15.0,21.0,25.0,27.0,51.0,55.0,61.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,57.0,53.0,41.0,27.0,25.0,19.0,17.0,17.0,19.0,17.0,17.0,19.0,19.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,15.0,15.0,17.0,17.0,21.0,41.0,45.0,45.0,57.0,57.0,57.0,83.0,79.0,75.0,73.0,69.0,61.0,61.0,59.0,51.0,47.0,41.0,29.0,29.0,21.0,15.0,15.0,13.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,9.0,15.0,25.0,31.0,55.0,59.0,61.0,61.0,59.0,57.0,55.0,35.0,29.0,25.0,23.0,5.0,5.0,1.0,3.0
1239.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,11.0,23.0,33.0,37.0,61.0,61.0,63.0,65.0,59.0,57.0,29.0,23.0,29.0,23.0,21.0,25.0,19.0,23.0,23.0,19.0,21.0,23.0,19.0,17.0,15.0,19.0,17.0,15.0,19.0,17.0,15.0,17.0,19.0,15.0,17.0,15.0,19.0,15.0,13.0,19.0,31.0,31.0,77.0,85.0,89.0,91.0,91.0,93.0,93.0,93.0,93.0,39.0,29.0,17.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,7.0,9.0,11.0,15.0,17.0,29.0,55.0,57.0,61.0,59.0,59.0,59.0,25.0,19.0,13.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
125.jpg,1.0,3.0,1.0,1.0,1.0,7.0,11.0,33.0,33.0,75.0,73.0,73.0,71.0,71.0,69.0,65.0,49.0,49.0,27.0,27.0,27.0,21.0,23.0,21.0,19.0,19.0,21.0,19.0,19.0,15.0,17.0,13.0,13.0,13.0,11.0,11.0,19.0,13.0,15.0,13.0,15.0,11.0,13.0,11.0,13.0,13.0,15.0,11.0,13.0,13.0,13.0,15.0,15.0,15.0,13.0,15.0,11.0,19.0,15.0,35.0,39.0,83.0,83.0,85.0,83.0,83.0,37.0,37.0,37.0,33.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,25.0,25.0,57.0,57.0,57.0,57.0,55.0,53.0,55.0,49.0,49.0,15.0,15.0,1.0,1.0,9.0
1252.jpg,1.0,3.0,1.0,3.0,9.0,9.0,19.0,19.0,31.0,37.0,45.0,67.0,65.0,65.0,65.0,63.0,61.0,57.0,57.0,53.0,47.0,23.0,21.0,25.0,21.0,21.0,19.0,21.0,19.0,21.0,23.0,19.0,23.0,23.0,21.0,21.0,19.0,21.0,19.0,17.0,19.0,23.0,17.0,21.0,27.0,19.0,19.0,31.0,47.0,57.0,79.0,83.0,83.0,83.0,85.0,83.0,81.0,85.0,49.0,47.0,19.0,17.0,17.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,7.0,9.0,11.0,15.0,13.0,61.0,63.0,61.0,59.0,59.0,57.0,55.0,53.0,25.0,19.0,1.0,1.0,1.0,1.0
1270.jpg,1.0,3.0,3.0,9.0,19.0,19.0,37.0,65.0,67.0,65.0,63.0,61.0,63.0,55.0,53.0,47.0,41.0,19.0,19.0,19.0,17.0,15.0,19.0,15.0,17.0,19.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,19.0,17.0,15.0,17.0,13.0,13.0,17.0,13.0,15.0,15.0,13.0,13.0,15.0,15.0,13.0,15.0,19.0,19.0,17.0,41.0,47.0,53.0,83.0,81.0,85.0,83.0,69.0,73.0,75.0,67.0,47.0,27.0,27.0,15.0,9.0,9.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,15.0,19.0,51.0,53.0,61.0,61.0,61.0,61.0,57.0,55.0,49.0,33.0,27.0,1.0,1.0,1.0,1.0
