,H,d_c,cluster
0,9.123126655311893,105.0,0.0
0,9.123126655311893,105.5,0.0
0,9.123126655311893,106.0,0.0
0,9.123126655311893,106.5,0.0
0,9.119548837780586,107.0,0.0
0,9.119548837780586,107.5,0.0
0,9.119548837780586,108.0,0.0
0,9.119548837780586,108.5,0.0
0,9.119548837780586,109.0,0.0
0,9.119548837780586,109.5,0.0
0,9.119548837780586,110.0,0.0
0,9.119548837780586,110.5,0.0
0,9.119548837780586,111.0,0.0
0,9.119548837780586,111.5,0.0
0,9.119548837780586,112.0,0.0
0,9.119548837780586,112.5,0.0
0,9.119548837780586,113.0,0.0
0,9.119548837780586,113.5,0.0
0,9.119548837780586,114.0,0.0
0,9.119548837780586,114.5,0.0
0,9.119548837780586,115.0,0.0
0,9.119548837780586,115.5,0.0
0,9.119548837780586,116.0,0.0
0,9.119548837780586,116.5,0.0
0,9.119548837780586,117.0,0.0
0,9.119548837780586,117.5,0.0
0,9.119548837780586,118.0,0.0
0,9.119548837780586,118.5,0.0
0,9.114620595379577,119.0,0.0
0,9.114620595379577,119.5,0.0
0,9.107464960316964,120.0,0.0
0,9.107464960316964,120.5,0.0
0,9.107464960316964,121.0,0.0
0,9.107464960316964,121.5,0.0
0,9.107464960316964,122.0,0.0
0,9.107464960316964,122.5,0.0
0,9.107464960316964,123.0,0.0
0,9.107464960316964,123.5,0.0
0,9.096731507723044,124.0,0.0
0,9.096731507723044,124.5,0.0
0,9.096731507723044,125.0,0.0
0,9.096731507723044,125.5,0.0
0,9.083770662467522,126.0,0.0
0,9.083770662467522,126.5,0.0
0,9.083770662467522,127.0,0.0
0,9.083770662467522,127.5,0.0
0,9.075264602535206,128.0,0.0
0,9.075264602535206,128.5,0.0
0,9.061830300201883,129.0,0.0
0,9.061830300201883,129.5,0.0
0,9.052447272477677,130.0,0.0
0,9.040836852091857,130.5,0.0
0,9.06855520070867,131.0,0.0
0,9.0076895801545,131.5,0.0
0,9.004111762623193,132.0,0.0
0,9.004111762623193,132.5,0.0
0,9.004111762623193,133.0,0.0
0,9.004111762623193,133.5,0.0
0,9.011740854763605,134.0,2.0
0,9.006812612362598,134.5,1.0
0,9.003234794831291,135.0,2.0
0,8.998306552430282,135.5,1.0
0,8.989800492497967,136.0,1.0
0,8.989800492497967,136.5,1.0
0,8.951251521081812,137.0,2.0
0,8.946323278680802,137.5,1.0
0,8.934355557865251,138.0,0.0
0,8.934355557865251,138.5,0.0
0,8.930777740333944,139.0,2.0
0,8.925849497932935,139.5,1.0
0,8.906467625202813,140.0,0.0
0,8.906467625202813,140.5,0.0
0,8.901539382801804,141.0,1.0
0,8.896611140400797,141.5,0.0
0,8.89303332286949,142.0,1.0
0,8.888105080468494,142.5,0.0
0,8.87033214946003,143.0,0.0
0,8.87033214946003,143.5,0.0
0,8.860949121735812,144.0,2.0
0,8.860949121735814,144.5,2.0
0,8.850215669141894,145.0,2.0
0,8.850215669141894,145.5,2.0
0,8.839482216547973,146.0,3.0
0,8.839482216547975,146.5,3.0
0,8.814758504247584,147.0,6.0
0,8.804902019445576,147.5,4.0
0,8.782604356750207,148.0,3.0
0,8.782604356750207,148.5,3.0
0,8.776799146557298,149.0,4.0
0,8.772628701432044,149.5,4.0
0,8.800983184766965,150.0,9.0
0,8.799632759897264,150.5,10.0
0,8.781207721596136,151.0,10.0
0,8.781207721596134,151.5,10.0
0,8.763792091017404,152.0,9.0
0,8.763792091017404,152.5,9.0
0,8.74395995089722,153.0,8.0
0,8.74395995089722,153.5,8.0
0,8.735453890964905,154.0,11.0
0,8.716214378438682,154.5,6.0
0,8.683361913364257,155.0,5.0
0,8.69544579082788,155.5,10.0
0,8.62663951409361,156.0,8.0
0,8.598653093164982,156.5,10.0
0,8.571086170921308,157.0,11.0
0,8.56035271832739,157.5,9.0
0,8.552250169109177,158.0,9.0
0,8.544217566254664,158.5,11.0
0,8.535711506322349,159.0,13.0
0,8.547828063783463,159.5,12.0
0,8.530789740363016,160.0,16.0
0,8.520056287769096,160.5,14.0
0,8.506643280292739,161.0,16.0
0,8.512448490485648,161.5,17.0
0,8.480059015824056,162.0,16.0
0,8.491385096011923,162.5,16.0
0,8.464291630846038,163.0,18.0
0,8.462987416260708,163.5,18.0
0,8.433120141123641,164.0,19.0
0,8.434470565993344,164.5,18.0
0,8.421509720737829,165.0,20.0
0,8.397173402050884,165.5,20.0
0,8.365558321941862,166.0,19.0
0,8.364207897072157,166.5,16.0
0,8.334436903597327,167.0,19.0
0,8.341413888445073,167.5,18.0
0,8.323431833828215,168.0,20.0
0,8.312951886511714,168.5,21.0
0,8.2999910412562,169.0,24.0
0,8.28203200723597,169.5,21.0
0,8.253962687824725,170.0,22.0
0,8.23812234261493,170.5,18.0
0,8.206038141481251,171.0,19.0
0,8.21478534519522,171.5,24.0
0,8.205872591589616,172.0,25.0
0,8.197650871855263,172.5,24.0
0,8.189364763723333,173.0,25.0
0,8.176251471808763,173.5,22.0
0,8.1560420245303,174.0,24.0
0,8.152549824038106,174.5,24.0
0,8.123407616425487,175.0,24.0
0,8.116950298939912,175.5,23.0
0,8.087657473283594,176.0,23.0
0,8.07266054238867,176.5,20.0
0,8.044769873192292,177.0,22.0
0,8.07338165146618,177.5,24.0
0,8.052496907207312,178.0,26.0
0,8.016043833101111,178.5,23.0
0,8.005563885784612,179.0,21.0
0,7.996156826669488,179.5,20.0
0,7.985183986111007,180.0,23.0
0,7.958801495329495,180.5,22.0
0,7.939404524569678,181.0,28.0
0,7.948407165052109,181.5,27.0
0,7.8846449071571,182.0,27.0
0,7.834745191205676,182.5,30.0
0,7.805108010950381,183.0,31.0
0,7.795026665649125,183.5,29.0
0,7.768262630505259,184.0,30.0
0,7.748154814490882,184.5,28.0
0,7.725543786609559,185.0,29.0
0,7.719377360104899,185.5,29.0
0,7.7044861970827245,186.0,27.0
0,7.6943287348446345,186.5,28.0
0,7.694302604402284,187.0,34.0
0,7.681890366598692,187.5,30.0
0,7.648003243764728,188.0,31.0
0,7.640565163334937,188.5,28.0
0,7.621554234754067,189.0,30.0
0,7.60182890365428,189.5,30.0
0,7.572205593731067,190.0,25.0
0,7.570226797648028,190.5,26.0
0,7.528954911031639,191.0,22.0
0,7.5526762113127734,191.5,32.0
0,7.517317526450388,192.0,30.0
0,7.522620634787317,192.5,29.0
0,7.51722638810541,193.0,35.0
0,7.507041838275007,193.5,33.0
0,7.483001614579409,194.0,37.0
