,H,d_c,cluster
0,8.445496826118049,53.5,0.0
0,8.43762571896901,54.0,0.0
0,8.43762571896901,54.5,0.0
0,8.43762571896901,55.0,0.0
0,8.43762571896901,55.5,0.0
0,8.431911433254724,56.0,0.0
0,8.431911433254724,56.5,0.0
0,8.426197147540439,57.0,0.0
0,8.426197147540439,57.5,0.0
0,8.426197147540439,58.0,0.0
0,8.426197147540439,58.5,0.0
0,8.426197147540439,59.0,0.0
0,8.426197147540439,59.5,0.0
0,8.426197147540439,60.0,0.0
0,8.426197147540439,60.5,0.0
0,8.400897853333943,61.0,0.0
0,8.400897853333943,61.5,0.0
0,8.395183567619657,62.0,0.0
0,8.395183567619657,62.5,0.0
0,8.366492584819753,63.0,0.0
0,8.366492584819753,63.5,0.0
0,8.366492584819753,64.0,0.0
0,8.366492584819753,64.5,0.0
0,8.355064013391182,65.0,0.0
0,8.35506401339118,65.5,0.0
0,8.341478620527857,66.0,0.0
0,8.341478620527857,66.5,0.0
0,8.308593549086922,67.0,0.0
0,8.308593549086922,67.5,0.0
0,8.275708477645988,68.0,0.0
0,8.275708477645988,68.5,0.0
0,8.236943344804644,69.0,0.0
0,8.207996065133795,69.5,0.0
0,8.269994191931701,70.0,4.0
0,8.27786529908074,70.5,5.0
0,8.254012397521894,71.0,4.0
0,8.23338588052511,71.5,4.0
0,8.202372300604331,72.0,4.0
0,8.200215479169579,72.5,5.0
0,8.17164405059815,73.0,8.0
0,8.152158853259765,73.5,5.0
0,8.112629701935138,74.0,4.0
0,8.098288130481842,74.5,5.0
0,8.070670609790112,75.0,8.0
0,8.070670609790112,75.5,8.0
0,8.061366906192692,76.0,10.0
0,8.061366906192692,76.5,10.0
0,7.997235591195727,77.0,11.0
0,7.997235591195727,77.5,11.0
0,7.979469407944321,78.0,13.0
0,7.972998943640063,78.5,12.0
0,7.892731549105099,79.0,11.0
0,7.899561147749565,79.5,12.0
0,7.844419455598441,80.0,9.0
0,7.840861991318909,80.5,10.0
0,7.7964886475706745,81.0,12.0
0,7.819283889183547,81.5,9.0
0,7.794952067600745,82.0,13.0
0,7.794952067600745,82.5,13.0
0,7.743367839729154,83.0,10.0
0,7.670113746160178,83.5,10.0
0,7.657569861801425,84.0,13.0
0,7.6433591857942496,84.5,15.0
0,7.662517659496819,85.0,17.0
0,7.663567007894702,85.5,16.0
0,7.512446231068887,86.0,17.0
0,7.4909897310565245,86.5,17.0
0,7.395375729373033,87.0,17.0
0,7.3918182650935,87.5,18.0
0,7.321422631554123,88.0,17.0
0,7.312763392211512,88.5,16.0
0,7.262345485224641,89.0,18.0
0,7.27021659237368,89.5,19.0
0,7.22936060262988,90.0,19.0
0,7.229175083869107,90.5,21.0
0,7.164470589990652,91.0,22.0
0,7.060368773196609,91.5,15.0
0,7.074396942639665,92.0,16.0
0,7.072525451119512,92.5,18.0
0,7.029227641245676,93.0,19.0
0,7.058980699781653,93.5,18.0
0,7.015391439806885,94.0,19.0
0,6.975237357840475,94.5,21.0
0,6.938555242008277,95.0,21.0
0,6.921412384865419,95.5,21.0
0,6.7783144418731895,96.0,16.0
0,6.774100481035843,96.5,15.0
0,6.823264901701046,97.0,12.0
0,6.7963369134931,97.5,15.0
0,6.624365913085867,98.0,14.0
0,6.639161616455325,98.5,18.0
0,6.588368885700794,99.0,19.0
0,6.506698592728034,99.5,18.0
0,6.465860264748208,100.0,17.0
0,6.515194794630186,100.5,21.0
0,6.43877138009462,101.0,23.0
0,6.447066747862547,101.5,22.0
0,6.37229304606146,102.0,20.0
0,6.363823495174099,102.5,20.0
0,6.286351839324155,103.0,26.0
0,6.277080089330337,103.5,25.0
0,6.263996553708078,104.0,27.0
0,6.23654043806683,104.5,24.0
0,6.149457502084268,105.0,25.0
0,6.117143090472533,105.5,23.0
0,6.016096895148943,106.0,27.0
0,6.004382993805772,106.5,26.0
0,5.932099909266261,107.0,26.0
0,5.9199811237800155,107.5,24.0
0,5.865822235789817,108.0,31.0
0,5.863380084440465,108.5,31.0
0,5.7666624003469815,109.0,32.0
0,5.7395373644231995,109.5,32.0
0,5.705735740226467,110.0,32.0
0,5.71187943530363,110.5,30.0
0,5.6098026734018855,111.0,33.0
0,5.570806271996901,111.5,35.0
0,5.526215014289341,112.0,30.0
0,5.488140095505672,112.5,28.0
0,5.409858657830602,113.0,28.0
0,5.402847482434536,113.5,26.0
0,5.360477846725928,114.0,28.0
0,5.35260673957689,114.5,27.0
0,5.337479513547733,115.0,34.0
